nomination_id;nomination_title;nomination_year;nomination_number;nomination_num_nominees;nomination_num_nominators;nomination_category_from_title;nomination_motivation;nomination_comments;other_information;nominator_1_name;nominator_1_id;nominator_1_gender;nominator_1_year_birth;nominator_1_year_death;nominator_1_profession;nominator_1_university;nominator_1_city;nominator_1_country;nominator_1_comments;nominator_1_awarded_prizes;nominee_1_name;nominee_1_id;nominee_1_gender;nominee_1_year_birth;nominee_1_year_death;nominee_1_profession;nominee_1_university;nominee_1_city;nominee_1_country;nominee_1_awarded_prizes;nominee_2_name;nominee_2_id;nominee_2_gender;nominee_2_year_birth;nominee_2_year_death;nominee_2_profession;nominee_2_university;nominee_2_city;nominee_2_country;nominee_2_awarded_prizes;nominee_3_name;nominee_3_id;nominee_3_gender;nominee_3_year_birth;nominee_3_year_death;nominee_3_profession;nominee_3_university;nominee_3_city;nominee_3_country;nominee_3_awarded_prizes;nominee_4_name;nominee_4_id;nominee_4_gender;nominee_4_year_birth;nominee_4_year_death;nominee_4_profession;nominee_4_university;nominee_4_city;nominee_4_country;nominee_4_awarded_prizes;nominee_5_name;nominee_5_id;nominee_5_gender;nominee_5_year_birth;nominee_5_year_death;nominee_5_profession;nominee_5_university;nominee_5_city;nominee_5_country;nominee_5_awarded_prizes;nominee_6_name;nominee_6_id;nominee_6_gender;nominee_6_year_birth;nominee_6_year_death;nominee_6_profession;nominee_6_university;nominee_6_city;nominee_6_country;nominee_6_awarded_prizes;nominee_7_name;nominee_7_id;nominee_7_gender;nominee_7_year_birth;nominee_7_year_death;nominee_7_profession;nominee_7_university;nominee_7_city;nominee_7_country;nominee_7_awarded_prizes;nominee_8_name;nominee_8_id;nominee_8_gender;nominee_8_year_birth;nominee_8_year_death;nominee_8_profession;nominee_8_university;nominee_8_city;nominee_8_country;nominee_8_awarded_prizes;nominee_9_name;nominee_9_id;nominee_9_gender;nominee_9_year_birth;nominee_9_year_death;nominee_9_profession;nominee_9_university;nominee_9_city;nominee_9_country;nominee_9_awarded_prizes
16642;Nomination for Nobel Prize in Literature;1958;26 - 0;1;1;Literature;;;nominator_1_State: NY;Helen Hull;12400;M;;;Professor Emeritus of English;Columbia University;New York;UNITED STATES (US);;;John Richard Hersey;12420;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16643;Nomination for Nobel Prize in Literature;1958;27 - 0;1;1;Literature;;;nominator_1_State: CT;René Wellek;12402;M;1903;1995;Professor of Comparative Literature;Yale University;New Haven;UNITED STATES (US);;;Robert Penn Warren;12401;M;1905;1989;Poet, novelist, and literary critic;;;UNITED STATES (US);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16644;Nomination for Nobel Prize in Literature;1958;28 - 0;1;1;Literature;;;nominator_1_State: IL;Henning Larsen;12403;M;;;Professor Emeritus of English;University of Illinois;Urbana;UNITED STATES (US);;;Carl Sandburg;8080;M;1878;1967;Poet, writer, and editor;;;UNITED STATES (US);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16645;Nomination for Nobel Prize in Literature;1958;29 - 0;2;1;Literature;;;;The Yugoslavian Author´s Society;12421;;;;;;Belgrade;YUGOSLAVIA (YU) now SERBIA (RS);;;Miroslav Krleza;12404;M;1893;1981;;;;;;Ivo Andric;12405;M;;;;;;;Literature 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16646;Nomination for Nobel Prize in Literature;1958;30 - 0;1;1;Literature;;;;Ernest Ludwig Stahl;12407;M;1902;1992;Professor of German Literature;University of Oxford;Oxford;UNITED KINGDOM (GB);;;Maurice Bowra;12365;M;1898;1971;;;;UNITED KINGDOM (GB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16647;Nomination for Nobel Prize in Literature;1958;31 - 0;1;1;Literature;;;nominator_1_State: IL;Napier Wilt;12409;;;;Professor of English;University of Chicago;Chicago;UNITED STATES (US);;;Tennessee Williams;12408;M;1911;1983;Playwright and author;;;UNITED STATES (US);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16648;Nomination for Nobel Prize in Literature;1958;32 - 0;1;1;Literature;;;nominator_1_State: NY;Angel del Rio;12240;M;1900;1962;Professor of Spanish;Columbia University;New York;UNITED STATES (US);;;Alfonso Reyes;7682;M;1889;1959;;;;MEXICO (MX);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16649;;;-;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16650;Nomination for Nobel Prize in Literature;1958;34 - 0;1;1;Literature;;;;Wessén;12330;M;;;;;;;;;Karen Blixen;1077;F;1885;1962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16651;Nomination for Nobel Prize in Literature;1958;35 - 0;1;1;Literature;;;;A Carey Taylor;12410;;;;Professor of French;University of London;London;UNITED KINGDOM (GB);;;Fernand Baldensperger;12012;M;1871;1958;;;;FRANCE (FR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16652;Nomination for Nobel Prize in Literature;1958;36 - 0;1;1;Literature;;;;Enid Starkie;12412;M;1897;1970;Professor of French literature;University of Oxford;Oxford;UNITED KINGDOM (GB);;;John Cowper Powys;12411;M;1872;1963;Novelist, lecturer, philosopher, literary critic, and poet;;;UNITED KINGDOM (GB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
