ID_Laureate;AwardeeDisplayName;Religion;ReligionSubgroup
184;Heinrich Wieland;Unknown;
2;Hendrik A. Lorentz;Unknown;
4;Henri Becquerel;Unknown;
481;Henri La Fontaine;Unknown;
335;Henrik Dam;Unknown;
587;Henrik Pontoppidan;Unknown;
462;Henry Dunant;Unknown;
260;Henry Taube;Unknown;
139;Henry W. Kendall;Unknown;
727;Herbert Kroemer;Unknown;
338;Herbert S. Gasser;Unknown;
691;Herbert Simon;Unknown;
216;Hermann Staudinger;Unknown;
731;Hideki Shirakawa;Unknown;
54;Hideki Yukawa;Unknown;
907;Hiroshi Amano;Unknown;
156;Horst L. Störmer;Unknown;
359;Hugo Theorell;Unknown;
467;Institute of International Law;Unknown;
818;Intergovernmental Panel on Climate Change;Unknown;
797;International Atomic Energy Agency;Unknown;
948;International Campaign to Abolish Nuclear Weapons;Unknown;
564;International Campaign to Ban Landmines;Unknown;
482;International Committee of the Red Cross;Unknown;
527;International Labour Organization;Unknown;
547;International Physicians for the Prevention of Nuclear War;Unknown;
194;Irène Joliot-Curie;Unknown;
191;Irving Langmuir;Unknown;
906;Isamu Akasaki;Unknown;
296;Ivan Pavlov;Unknown;
98;Ivar Giaever;Unknown;
130;J. Georg Bednorz;Unknown;
80;J. Hans D. Jensen;Unknown;
763;J. M. Coetzee;Unknown;
440;J. Michael Bishop;Unknown;
790;J. Robin Warren;Unknown;
592;Jacinto Benavente;Unknown;
728;Jack Kilby;Unknown;
837;Jack W. Szostak;Unknown;
160;Jacobus H. van 't Hoff;Unknown;
944;Jacques Dubochet;Unknown;
382;Jacques Monod;Unknown;
715;James A. Mirrlees;Unknown;
204;James B. Sumner;Unknown;
41;James Chadwick;Unknown;
116;James Cronin;Unknown;
690;James E. Meade;Unknown;
732;James J. Heckman;Unknown;
700;James M. Buchanan Jr.;Unknown;
958;James P. Allison;Unknown;
973;James Peebles;Unknown;
104;James Rainwater;Unknown;
695;James Tobin;Unknown;
373;James Watson;Unknown;
678;Jan Tinbergen;Unknown;
223;Jaroslav Heyrovsky;Unknown;
661;Jaroslav Seifert;Unknown;
32;Jean Baptiste Perrin;Unknown;
420;Jean Dausset;Unknown;
915;Jean Tirole;Unknown;
832;Jean-Marie Gustave Le Clézio;Unknown;
268;Jean-Marie Lehn;Unknown;
637;Jean-Paul Sartre;Unknown;
931;Jean-Pierre Sauvage;Unknown;
938;Jeffrey C. Hall;Unknown;
992;Jennifer A. Doudna;Unknown;
289;Jens C. Skou;Unknown;
945;Joachim Frank;Unknown;
565;Jody Williams;Unknown;
270;Johann Deisenhofer;Unknown;
15;Johannes Diderik van der Waals;Unknown;
316;Johannes Fibiger;Unknown;
24;Johannes Stark;Unknown;
614;Johannes V. Jensen;Unknown;
756;John B. Fenn;Unknown;
66;John Bardeen;Unknown;
711;John C. Harsanyi;Unknown;
227;John C. Kendrew;Unknown;
804;John C. Mather;Unknown;
1013;John Clauser;Unknown;
56;John Cockcroft;Unknown;
247;John Cornforth;Unknown;
752;John E. Sulston;Unknown;
288;John E. Walker;Unknown;
356;John F. Enders;Unknown;
712;John F. Nash Jr.;Unknown;
605;John Galsworthy;Unknown;
205;John H. Northrop;Unknown;
109;John H. Van Vleck;Unknown;
792;John L. Hall;Unknown;
314;John Macleod;Unknown;
903;John O'Keefe;Unknown;
291;John Pople;Unknown;
681;John R. Hicks;Unknown;
675;José Saramago;Unknown;
442;Joseph E. Murray;Unknown;
746;Joseph E. Stiglitz;Unknown;
144;Joseph H. Taylor Jr.;Unknown;
1008;Joshua D. Angrist;Unknown;
862;Jules A. Hoffmann;Unknown;
309;Jules Bordet;Unknown;
317;Julius Wagner-Jauregg;Unknown;
743;K. Barry Sharpless;Unknown;
120;Kai M. Siegbahn;Unknown;
913;Kailash Satyarthi;Unknown;
586;Karl Gjellerup;Unknown;
400;Karl von Frisch;Unknown;
228;Karl Ziegler;Unknown;
278;Kary B. Mullis;Unknown;
1024;Katalin Karikó;Unknown;
947;Kazuo Ishiguro;Unknown;
386;Keffer Hartline;Unknown;
257;Kenichi Fukui;Unknown;
121;Kenneth G. Wilson;Unknown;
682;Kenneth J. Arrow;Unknown;
671;Kenzaburo Oe;Unknown;
943;Kip S. Thorne;Unknown;
473;Klas Pontus Arnoldson;Unknown;
1000;Klaus Hasselmann;Unknown;
126;Klaus von Klitzing;Unknown;
589;Knut Hamsun;Unknown;
757;Koichi Tanaka;Unknown;
401;Konrad Lorenz;Unknown;
850;Konstantin Novoselov;Unknown;
211;Kurt Alder;Unknown;
758;Kurt Wüthrich;Unknown;
236;Lars Onsager;Unknown;
895;Lars Peter Hansen;Unknown;
21;Lawrence Bragg;Unknown;
694;Lawrence R. Klein;Unknown;
531;Le Duc Tho ;Unknown;
523;League of Red Cross Societies;Unknown;
735;Leland Hartwell;Unknown;
97;Leo Esaki;Unknown;
484;Léon Bourgeois;Unknown;
512;Léon Jouhaux;Unknown;
95;Leon N. Cooper;Unknown;
820;Leonid Hurwicz;Unknown;
686;Leonid Vitaliyevich Kantorovich;Unknown;
200;Leopold Ruzicka;Unknown;
775;Linda B. Buck;Unknown;
217;Linus Pauling;Unknown;
855;Liu Xiaobo;Unknown;
883;Lloyd S. Shapley;Unknown;
221;Lord Todd;Unknown;
1030;Louis Brus;Unknown;
36;Louis de Broglie;Unknown;
459;Louis J. Ignarro;Unknown;
92;Louis Néel;Unknown;
